File Path	chrom://mascot-server/ChromeleonLocal/Raw Data/Users/Jenifer Hendel/2018/Vtag3.seq/486.smp/ACQUITY FLR ChA.channel/ACQUITY FLR ChA.chm
Channel	ACQUITY FLR ChA

Injection Information:
Data Vault	ChromeleonLocal
Injection	IgG Vtag 6
Injection Number	7
Position	
Comment	$$ 2.1 vial 2:A,7 injection 1
Processing Method	New Processing Method
Instrument Method	
Type	Unknown
Status	Finished
Injection Date	11/05/2018
Injection Time	12:12:38
Injection Volume (µL)	25.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	65.000000
Data Points	7801
Detector	
Generating Data System	Chromeleon 7.2.4.8179
Exporting Data System	Chromeleon 7.2.2.0
Operator	Simon.Peel
Signal Quantity	Response
Signal Unit	EU
Signal Min.	-0.261689
Signal Max.	27.112921
Channel	ACQUITY FLR ChA
Driver Name	AnDI Import Plug-in
Channel Type	Evaluation
Min. Step (s)	0.5
Max. Step (s)	0.5
Average Step (s)	0.5

Signal Parameter Information:
Signal Info	techCHROM

Chromatogram Data:
Time (min)	Step (s)	Value (EU)
0.000000	n.a.	0.000000
0.008333	0.5	-0.000133
0.016667	0.5	0.001592
0.025000	0.5	0.004912
0.033333	0.5	0.011357
0.041667	0.5	0.020342
0.050000	0.5	0.025420
0.058333	0.5	0.025811
0.066667	0.5	0.019951
0.075000	0.5	0.009600
0.083333	0.5	0.000615
0.091667	0.5	-0.003682
0.100000	0.5	-0.002510
0.108333	0.5	0.001006
0.116667	0.5	0.004717
0.125000	0.5	0.005693
0.133333	0.5	0.005498
0.141667	0.5	0.003936
0.150000	0.5	0.001201
0.158333	0.5	-0.001338
0.166667	0.5	-0.003486
0.175000	0.5	-0.003096
0.183333	0.5	-0.001143
0.191667	0.5	0.002178
0.200000	0.5	0.005693
0.208333	0.5	0.007256
0.216667	0.5	0.007256
0.225000	0.5	0.005693
0.233333	0.5	0.004717
0.241667	0.5	0.005107
0.250000	0.5	0.007061
0.258333	0.5	0.008428
0.266667	0.5	0.007647
0.275000	0.5	0.005107
0.283333	0.5	0.001982
0.291667	0.5	0.002959
0.300000	0.5	0.009014
0.308333	0.5	0.018779
0.316667	0.5	0.025420
0.325000	0.5	0.025029
0.333333	0.5	0.018584
0.341667	0.5	0.009209
0.350000	0.5	0.001592
0.358333	0.5	-0.003877
0.366667	0.5	-0.007393
0.375000	0.5	-0.009150
0.383333	0.5	-0.010908
0.391667	0.5	-0.011885
0.400000	0.5	-0.011494
0.408333	0.5	-0.008564
0.416667	0.5	-0.005439
0.425000	0.5	-0.004463
0.433333	0.5	-0.007197
0.441667	0.5	-0.009736
0.450000	0.5	-0.007393
0.458333	0.5	0.000029
0.466667	0.5	0.009209
