File Path	chrom://mascot-server/ChromeleonLocal/Raw Data/Users/Jenifer Hendel/2018/Vtag3.seq/801.smp/ACQUITY FLR ChA.channel/ACQUITY FLR ChA.chm
Channel	ACQUITY FLR ChA

Injection Information:
Data Vault	ChromeleonLocal
Injection	IgG Vtag 9
Injection Number	10
Position	
Comment	$$ 2.1 vial 2:B,2 injection 1
Processing Method	New Processing Method
Instrument Method	
Type	Unknown
Status	Finished
Injection Date	11/05/2018
Injection Time	15:31:42
Injection Volume (µL)	25.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	65.000000
Data Points	7801
Detector	
Generating Data System	Chromeleon 7.2.4.8179
Exporting Data System	Chromeleon 7.2.2.0
Operator	Simon.Peel
Signal Quantity	Response
Signal Unit	EU
Signal Min.	-0.252554
Signal Max.	29.108578
Channel	ACQUITY FLR ChA
Driver Name	AnDI Import Plug-in
Channel Type	Evaluation
Min. Step (s)	0.5
Max. Step (s)	0.5
Average Step (s)	0.5

Signal Parameter Information:
Signal Info	techCHROM

Chromatogram Data:
Time (min)	Step (s)	Value (EU)
0.000000	n.a.	0.000000
0.008333	0.5	-0.000285
0.016667	0.5	-0.000796
0.025000	0.5	-0.001577
0.033333	0.5	-0.000406
0.041667	0.5	0.000962
0.050000	0.5	0.001938
0.058333	0.5	0.001938
0.066667	0.5	0.001352
0.075000	0.5	0.003305
0.083333	0.5	0.008384
0.091667	0.5	0.013462
0.100000	0.5	0.012680
0.108333	0.5	0.005063
0.116667	0.5	-0.005874
0.125000	0.5	-0.011734
0.133333	0.5	-0.010171
0.141667	0.5	-0.002945
0.150000	0.5	0.003305
0.158333	0.5	0.007798
0.166667	0.5	0.012485
0.175000	0.5	0.019907
0.183333	0.5	0.027329
0.191667	0.5	0.030844
0.200000	0.5	0.028305
0.208333	0.5	0.020884
0.216667	0.5	0.012485
0.225000	0.5	0.007407
0.233333	0.5	0.004868
0.241667	0.5	0.001352
0.250000	0.5	-0.002359
0.258333	0.5	-0.005093
0.266667	0.5	-0.004116
0.275000	0.5	-0.003531
0.283333	0.5	-0.004898
0.291667	0.5	-0.008413
0.300000	0.5	-0.010171
0.308333	0.5	-0.006656
0.316667	0.5	0.000571
0.325000	0.5	0.007016
0.333333	0.5	0.007798
0.341667	0.5	0.002915
0.350000	0.5	-0.004312
0.358333	0.5	-0.009781
0.366667	0.5	-0.011734
0.375000	0.5	-0.013491
0.383333	0.5	-0.016421
0.391667	0.5	-0.019156
0.400000	0.5	-0.019546
0.408333	0.5	-0.015249
0.416667	0.5	-0.009976
0.425000	0.5	-0.005484
0.433333	0.5	-0.004116
0.441667	0.5	-0.004507
0.450000	0.5	-0.004312
0.458333	0.5	-0.001773
0.466667	0.5	0.003110
0.475000	0.5	0.008579
0.483333	0.5	0.012485
0.491667	0.5	0.013266
0.500000	0.5	0.010923
0.508333	0.5	0.007993
0.516667	0.5	0.006040
0.525000	0.5	0.005259
0.533333	0.5	0.003891
0.541667	0.5	0.001743
0.550000	0.5	-0.000406
0.558333	0.5	-0.001577
0.566667	0.5	-0.000406
0.575000	0.5	0.002719
0.583333	0.5	0.007212
0.591667	0.5	0.013657
0.600000	0.5	0.021860
0.608333	0.5	0.027524
0.616667	0.5	0.028305
0.625000	0.5	0.021665
0.633333	0.5	0.010727
0.641667	0.5	0.002719
0.650000	0.5	0.000766
0.658333	0.5	0.003696
0.666667	0.5	0.005454
0.675000	0.5	0.003696
0.683333	0.5	-0.000991
0.691667	0.5	-0.003921
0.700000	0.5	0.000962
0.708333	0.5	0.024790
0.716667	0.5	0.089048
0.725000	0.5	0.219907
0.733333	0.5	0.441196
0.741667	0.5	0.769321
0.750000	0.5	1.220884
0.758333	0.5	1.792368
0.766667	0.5	2.431626
0.775000	0.5	3.026743
0.783333	0.5	3.441001
0.791667	0.5	3.586899
0.800000	0.5	3.463266
0.808333	0.5	3.148227
